"","code","growth","Photo","Cond","Ci","Tleaf","PARi","CO2R","RH_S","spp"
"1325","j1.1","cool",37.3598699,0.407421291,109.1616211,24.90928268,1799.482544,325.3366699,62.01580048,"S. bicolor "
"1327","j1.1","cool",38.90846839,0.202731371,214.5015215,25.16372871,1799.335083,600.607666,54.19872665,"S. bicolor "
"1329","j1.1","cool",33.41104485,0.066384011,312.8718931,25.0268116,1800.403564,1200.74939,46.58353424,"S. bicolor "
"1331","j1.2","cool",7.328492274,0.52680236,14.4057496,24.91294289,1800.099487,49.80813217,67.37557983,"S. bicolor "
"1333","j1.2","cool",21.05086443,0.528573423,48.14345881,24.93289948,1799.108154,149.8003998,67.89221191,"S. bicolor "
"1335","j1.2","cool",32.51257877,0.498398478,87.12157529,24.88048172,1799.963135,250.4946136,67.29306793,"S. bicolor "
"1337","j1.2","cool",41.27570367,0.421584536,167.3783523,24.97638321,1800.085205,400.9328918,65.5893631,"S. bicolor "
"1339","j1.2","cool",44.93373735,0.244734314,414.009542,25.11475372,1799.546875,800.4287109,60.31579971,"S. bicolor "
"1341","j1.2","cool",45.7661966,0.108098038,712.6568186,25.1599617,1799.989136,1499.816162,54.13211823,"S. bicolor "
"1343","j1.3","cool",15.04313452,0.570594459,30.82961115,25.08654976,1799.830322,99.94348907,70.34249878,"S. bicolor "
"1345","j1.3","cool",28.29906389,0.549341291,67.21467712,25.05339813,1800.644287,200.5375519,70.4004364,"S. bicolor "
"1347","j1.3","cool",39.55604511,0.495840806,125.120332,25.08122826,1801.15979,324.8592834,69.95858765,"S. bicolor "
"1349","j1.3","cool",45.45738142,0.383543393,322.2480929,25.17720985,1799.525879,600.1332397,67.71257782,"S. bicolor "
"1351","j1.3","cool",43.95092143,0.119915916,516.9502494,25.20524788,1799.927612,1200.832153,59.45791626,"S. bicolor "
"1353","j1.4","cool",8.914826917,0.690592609,14.27415412,24.82595634,1799.99939,50.65734482,73.77871704,"S. bicolor "
"1355","j1.4","cool",23.61797142,0.644268584,49.74398231,24.87404251,1800.303101,150.3870697,72.80737305,"S. bicolor "
"1357","j1.4","cool",35.78292867,0.577329446,86.99432976,25.15715027,1801.269897,250.259201,71.30058289,"S. bicolor "
"1359","j1.4","cool",43.73863617,0.495368122,179.2608191,25.00729179,1801.147583,400.7337646,70.4413147,"S. bicolor "
"1361","j1.4","cool",45.95133671,0.252934718,417.8845931,24.90228653,1799.189819,800.3239746,68.72942352,"S. bicolor "
"1363","j1.4","cool",45.5876583,0.113020512,750.3368225,24.83620644,1799.216919,1499.796631,62.45019913,"S. bicolor "
