"","code","growth","Photo","Cond","Ci","Tleaf","PARi","CO2R","RH_S","Rd","rdTleaf"
"43","e3.1","warm",37.18836217,0.132264162,685.0630908,25.13113022,1800.464111,1200.269531,50.01847839,-0.327147439,25.1014544166667
"44","e3.1","warm",37.06140687,0.111444898,894.7306505,25.07278824,1800.783691,1499.685059,49.57266998,-0.327147439,25.1014544166667
"45","e3.2","warm",6.908266797,0.418484658,16.3314913,24.97860146,1799.708252,50.25473785,69.53423309,-0.441652434666667,25.14275742
"46","e3.2","warm",11.99235925,0.42947373,41.77276134,24.84716415,1800.280762,99.79398346,68.82210541,-0.441652434666667,25.14275742
"47","e3.2","warm",17.00630194,0.433702567,67.77190139,24.90367699,1800.4646,149.6594391,68.3429184,-0.441652434666667,25.14275742
"48","e3.2","warm",21.22642779,0.435564307,97.56567864,24.8753376,1800.471436,199.7470398,68.43968964,-0.441652434666667,25.14275742
"49","e3.2","warm",24.25968973,0.429376592,131.8979857,24.858284,1800.724976,250.4810638,68.45766449,-0.441652434666667,25.14275742
"50","e3.2","warm",26.25625628,0.400983176,188.1085987,24.90574074,1801.139526,324.6869812,67.38126373,-0.441652434666667,25.14275742
"51","e3.2","warm",27.55745665,0.330106006,231.6308819,24.99777412,1800.512207,399.9448242,65.8001709,-0.441652434666667,25.14275742
"52","e3.2","warm",28.58540733,0.223863217,355.288867,24.95649719,1800.490479,599.7163696,64.0291748,-0.441652434666667,25.14275742
"53","e3.2","warm",29.14743895,0.13917444,421.1550169,25.04090309,1800.559448,800.899292,61.42697144,-0.441652434666667,25.14275742
"54","e3.2","warm",26.34273968,0.074394204,583.5245286,25.11901665,1800.575195,1200.276245,59.59569931,-0.441652434666667,25.14275742
"55","e3.2","warm",27.45374529,0.075181987,857.2295102,25.02421188,1800.7854,1500.420166,60.10658264,-0.441652434666667,25.14275742
"56","e3.3","warm",7.328268523,0.451751376,16.70433047,25.05106354,1799.105591,49.81676102,67.46982574,-0.396577867,25.1027228033333
"57","e3.3","warm",14.38268303,0.444011046,33.66950074,24.97117805,1799.412354,99.56816864,67.40061188,-0.396577867,25.1027228033333
"58","e3.3","warm",19.65878295,0.448992731,60.36334259,24.91607666,1800.057007,150.0008087,67.42730713,-0.396577867,25.1027228033333
"59","e3.3","warm",24.36146271,0.438644121,85.4399443,24.89560318,1800.208862,198.8710175,67.19451904,-0.396577867,25.1027228033333
"60","e3.3","warm",27.82145166,0.411141306,113.4626852,24.93300438,1800.717041,250.3325958,66.72608185,-0.396577867,25.1027228033333
"61","e3.3","warm",30.0758152,0.340784573,151.3946497,24.88695526,1800.909424,324.6328125,65.30275726,-0.396577867,25.1027228033333
